pointX,pointY,pointZ,normalX,normalY,normalZ,camera1X,camera1Y,camera1Z,camera2X,camera2Y,camera2Z,RWorldToCamera1_11,RWorldToCamera1_12,RWorldToCamera1_13,RWorldToCamera1_21,RWorldToCamera1_22,RWorldToCamera1_23,RWorldToCamera1_31,RWorldToCamera1_32,RWorldToCamera1_33,RCamera2ToWorld_11,RCamera2ToWorld_12,RCamera2ToWorld_13,RCamera2ToWorld_21,RCamera2ToWorld_22,RCamera2ToWorld_23,RCamera2ToWorld_31,RCamera2ToWorld_32,RCamera2ToWorld_33
0.280284,0.27359,1.71428,0.732597,-0.294086,-0.613853,-1.13491,-0.000532772,-0.656319,0.280591,0.273467,1.71402,0.66608,-0.365069,-0.650433,0.261601,0.930981,-0.254638,0.6985,-0.000544139,0.71561,-0.372534,0.569667,0.732597,-0.928019,-0.228681,-0.294086,0,0.78942,-0.613853
0.280284,0.27359,1.71428,0.732597,-0.294086,-0.613853,-0.0787986,-0.00266812,-0.263542,0.280658,0.27344,1.71396,0.969678,-0.167162,-0.178275,0.144547,0.980498,-0.133154,0.197056,0.103348,0.97493,-0.372534,0.569667,0.732597,-0.928019,-0.228681,-0.294086,0,0.78942,-0.613853
0.280284,0.27359,1.71428,0.732597,-0.294086,-0.613853,-0.07555,0.00103718,-0.259122,0.280649,0.273443,1.71397,0.973927,-0.173828,-0.145775,0.106273,0.917282,-0.383797,0.200432,0.358298,0.911839,-0.372534,0.569667,0.732597,-0.928019,-0.228681,-0.294086,0,0.78942,-0.613853
0.280284,0.27359,1.71428,0.732597,-0.294086,-0.613853,-1.11345,-0.000484205,-0.620124,0.280655,0.273441,1.71396,0.883336,-0.27999,-0.375931,0.21699,0.955147,-0.201519,0.415492,0.0964356,0.90447,-0.372534,0.569667,0.732597,-0.928019,-0.228681,-0.294086,0,0.78942,-0.613853
-0.371927,0.385578,1.80322,0.447375,-0.464463,-0.764284,-0.0787986,-0.00266812,-0.263542,-0.371702,0.385345,1.80284,0.969678,-0.167162,-0.178275,0.144547,0.980498,-0.133154,0.197056,0.103348,0.97493,-0.720232,0.530209,0.447375,-0.693734,-0.550461,-0.464463,0,0.64488,-0.764284
-0.371927,0.385578,1.80322,0.447375,-0.464463,-0.764284,0.938975,9.35498e-05,0.00216803,-0.37169,0.385332,1.80282,0.948344,0.0562305,0.312221,-0.0447116,0.998033,-0.0439367,-0.314077,0.0277072,0.948993,-0.720232,0.530209,0.447375,-0.693734,-0.550461,-0.464463,0,0.64488,-0.764284
-0.371927,0.385578,1.80322,0.447375,-0.464463,-0.764284,-0.07555,0.00103718,-0.259122,-0.371705,0.385347,1.80284,0.973927,-0.173828,-0.145775,0.106273,0.917282,-0.383797,0.200432,0.358298,0.911839,-0.720232,0.530209,0.447375,-0.693734,-0.550461,-0.464463,0,0.64488,-0.764284
-0.371927,0.385578,1.80322,0.447375,-0.464463,-0.764284,-0.0862048,-0.0006734,-0.26718,-0.371683,0.385325,1.80281,0.97483,0.00736001,0.222828,0.0537713,0.96219,-0.26702,-0.216368,0.272281,0.937576,-0.720232,0.530209,0.447375,-0.693734,-0.550461,-0.464463,0,0.64488,-0.764284
-0.371927,0.385578,1.80322,0.447375,-0.464463,-0.764284,-0.0890411,0.0014642,-0.262717,-0.371683,0.385325,1.8028,0.97558,0.0050644,0.219585,0.0547781,0.962534,-0.26557,-0.212703,0.271113,0.938752,-0.720232,0.530209,0.447375,-0.693734,-0.550461,-0.464463,0,0.64488,-0.764284
-0.371927,0.385578,1.80322,0.447375,-0.464463,-0.764284,-0.0932988,-0.00036775,-0.255494,-0.371695,0.385337,1.80283,0.871074,0.123262,0.475434,0.0297983,0.95295,-0.301659,-0.490248,0.276935,0.826417,-0.720232,0.530209,0.447375,-0.693734,-0.550461,-0.464463,0,0.64488,-0.764284
